id,host_id,neighbourhood,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
41841552,330536063,6,26,3,1,23,2,1125,1.0,1.0,flexible,0,
41841576,330536063,6,26,3,2,23,2,1125,1.0,1.0,flexible,0,
41841596,330536063,6,26,3,2,23,2,1125,1.0,1.0,flexible,1,6.0
41841830,13717654,6,2,3,1,33,3,1125,2.0,1.0,moderate,0,
41841961,213735995,14,15,3,2,40,1,1125,,,flexible,1,10.0
41842519,203829461,2,23,3,2,19,1,7,1.0,1.0,moderate,1,
41842685,145339893,14,2,3,1,12,3,1125,1.0,1.0,moderate,2,7.0
41842815,145339893,14,2,3,1,11,3,1125,1.0,1.0,flexible,1,10.0
41846463,256651290,1,23,3,1,52,2,1125,1.0,1.0,flexible,0,
41848268,156481146,7,2,1,6,35,2,30,3.0,3.0,flexible,0,
41851699,329853360,6,2,3,2,20,1,1125,1.0,1.0,strict_14_with_grace_period,7,9.0
41851868,141568833,3,2,3,2,14,7,30,1.0,1.0,moderate,7,10.0
41853011,64974114,6,2,3,2,25,3,1125,1.0,1.0,flexible,1,10.0
41855209,8158860,14,22,3,2,19,5,90,1.0,1.0,moderate,3,10.0
41855946,330584460,4,26,3,4,25,3,1125,1.0,1.0,strict_14_with_grace_period,2,9.0
41856259,83957847,3,2,3,1,23,1,1125,1.0,1.0,flexible,0,
41857340,130902813,5,2,3,2,300,1,1125,1.0,,moderate,0,
41857714,252022341,6,2,3,1,9,1,1125,1.0,1.0,flexible,2,10.0
41858335,243035087,11,2,1,4,65,3,1125,2.0,2.0,moderate,1,10.0
41858523,330920107,15,15,1,5,50,1,30,2.0,4.0,flexible,6,10.0
41858724,305330644,4,26,1,4,300,1,1125,2.0,2.0,moderate,0,
41859294,235234600,11,15,3,1,10,1,1125,1.0,1.0,moderate,4,10.0
41859312,190991171,6,2,3,4,23,2,1125,1.0,4.0,moderate,6,9.0
41860102,212519930,14,26,3,2,37,1,30,1.0,1.0,strict_14_with_grace_period,2,10.0
41860437,214347181,6,15,1,5,40,1,1125,2.0,3.0,strict_14_with_grace_period,17,10.0
41861183,302622439,3,2,3,2,33,3,30,1.0,1.0,flexible,0,
41861519,135894880,5,15,1,6,55,2,1125,2.0,2.0,flexible,0,
41861825,211228407,6,2,3,2,15,2,30,1.0,1.0,flexible,1,10.0
41861968,331005837,9,2,1,2,22,2,3,1.0,1.0,moderate,1,4.0
41862099,331014075,7,2,1,4,40,1,1125,2.0,3.0,flexible,0,
41862135,214150299,1,26,3,2,18,1,1125,1.0,1.0,flexible,0,
41862160,36992354,6,29,1,2,27,4,1125,1.0,1.0,flexible,3,9.0
41863527,157491849,6,2,1,2,74,2,185,2.0,2.0,strict_14_with_grace_period,0,
41864709,331057415,12,2,1,1,21,1,1125,1.0,1.0,moderate,0,
41873601,329853360,6,2,3,2,20,1,1125,1.0,1.0,strict_14_with_grace_period,3,9.0
41876509,196002809,6,15,1,2,43,1,15,1.0,1.0,flexible,5,10.0
